Number of Records,Table Name,Accession Number,City,Commission Cik,Commission File Number,Company Name,Crd Number,Date Incorporation,Is Amendment,Issuer Website,Jurisdiction Organization,Legal Status Form,Legal Status Other Desc,Name Of Issuer,Nature Of Amendment,Progress Update,State Or Country,Street1,Street2,Zip Code
1,2016q2.tsv,0001669760-16-000047,Charles Town,1665160,007-00007,StartEngine Capital LLC,282945,9/22/2014 12:00:00 AM,0,www.bloomerysweetshine.com,WV,Limited Liability Company,,"Bloomery Investment Holdings, LLC",,,WV,16357 Charles Town Road,,25414
1,2016q2.tsv,0001644600-16-000127,SANTA MONICA,1665160,007-00007,StartEngine Capital LLC,282945,11/10/2014 12:00:00 AM,0,www.gigmor.com,DE,Corporation,,"Gigmor, Inc",,,CA,844 BERKELEY STREET,,90403
1,2016q2.tsv,0001670254-16-000002,San Francisco,1670254,007-00033,Wefunder Portal LLC,283503,3/8/2012 12:00:00 AM,0,http://www.taxa.com,DE,Corporation,,TAXA Biotechnologies Inc,,,CA,665 3rd Street,Ste 230,94107
1,2016q2.tsv,0001674180-16-000002,AUSTIN,1667892,007-00023,NextSeed US LLC,283225,3/31/2016 12:00:00 AM,0,nativehostels.com,TX,Limited Liability Company,,Native Hostel Austin LLC,,,TX,807 E. 4th Street,,78702
1,2016q2.tsv,0001674421-16-000002,Charles Town,1665160,007-00007,StartEngine Capital LLC,282945,9/22/2014 12:00:00 AM,1,www.bloomerysweetshine.com,WV,Limited Liability Company,,"Bloomery Investment Holdings, LLC",Our Form C PDF was rejected in our original submission and we are refiling it.,,WV,16357 Charles Town Road,,25414
1,2016q2.tsv,0001670254-16-000008,Chicago,1670254,007-00033,Wefunder Portal LLC,283503,11/12/2003 12:00:00 AM,0,http://www.urbanjuncture.com/,IL,Corporation,,"Urban Juncture, Inc.",,,IL,4245 S. King Dr.,,60653
1,2016q2.tsv,0001670254-16-000010,Seattle,1670254,007-00033,Wefunder Portal LLC,283503,5/6/2016 12:00:00 AM,0,http://rodeodonut.com/,WA,Limited Liability Company,,"Rodeo Donut, LLC",,,WA,2052 NW Market St.,,98107
1,2016q2.tsv,0001670254-16-000012,Wilmington,1670254,007-00033,Wefunder Portal LLC,283503,9/16/2015 12:00:00 AM,0,http://www.n1ce.com/,DE,Limited Liability Company,,"N1CE USA, LLC",,,DE,1000 N. West Street,Suite 1501,19801
1,2016q2.tsv,0001670254-16-000015,Detroit,1670254,007-00033,Wefunder Portal LLC,283503,2/12/2012 12:00:00 AM,0,http://www.bogobrush.com/,MN,Limited Liability Company,,"Do., LLC",,,MI,444 W. Willis St.,#103,48201
1,2016q2.tsv,0001665160-16-000055,PETERBOROUGH,1665160,007-00007,StartEngine Capital LLC,,9/9/2015 12:00:00 AM,0,www.qazing.com,DE,Corporation,,"qaZING, Inc.",,,NH,70 MAIN STREET,"5TH FLOOR, SUITE 500",03458
1,2016q2.tsv,0001665160-16-000056,SOLANA BEACH,1665160,007-00007,StartEngine Capital LLC,282945,4/28/2016 12:00:00 AM,0,www.gametree.me,DE,Corporation,,GameTree PBC,,,CA,702 CASTRO ST,,92075
1,2016q2.tsv,0001670254-16-000016,Helena,1670254,007-00033,Wefunder Portal LLC,283503,4/4/2016 12:00:00 AM,0,tsi.io,DE,Corporation,,Subsector Solutions Corporation,,,MN,614B North Last Chance Gulch,,59601
1,2016q2.tsv,0001665160-16-000058,PETERBOROUGH,1665160,007-00007,StartEngine Capital LLC,,9/9/2015 12:00:00 AM,0,www.qazing.com,DE,Corporation,,"qaZING, Inc.",We are adding an attachment with the full offering terms and other details for the Form C,,NH,70 MAIN STREET,"5TH FLOOR, SUITE 500",03458
