Features,Category,EndoPro,Ensysce,FamilyCare,Amnion,Brightday,Ionica Sciences,Sen-Jam
What is the status of the Intellectual Property?,T,4,4.67,2.33,3.8,3.33,2.6,3.24
How qualified is the business team to bring this startup to a successful exit?,E,3.8,5,4,3,4.67,4.6,4.09
"Has the team, individually or collectively, had successful exits in the past?",E,1,4.67,3.33,1,3.67,3.6,2.76
How well is the problem defined?,M,4.6,4.33,3.67,4.4,4.33,4.4,4.38
How well is the solution explained?,M,4.4,3.67,4,3.6,4,3.8,3.8
Does this startup have any competitive advantages? ,M,4.2,4.33,3.33,3.8,4,4,3.93
Will the startup create value?,M,4.2,4.33,3.33,3.4,3.67,4.4,3.82
Does the startup have any market validation?,M,3.4,4,2.67,2.8,4,3.2,3.33
Does the startup have a strategic marketing plan in place?,M,2.8,4.67,3.33,3.4,4.33,3.2,3.64
What is the status of the pricing analysis?,M,3,2.67,4,2.6,3.67,2.4,2.89
When is realistic commercialization?,M,1.2,1.67,4.33,1,3.33,2.8,2.38
How likely is this startup going to meet its financial forecasts?,F,2.6,3.67,3.33,2.8,3.67,3.8,3.42
Can this business scale?,M,4,4.67,4,3.2,4.33,3.4,3.64
What is a credible ROI multiple for this round?,F,3.6,2.67,3,3.8,3,3.6,3.47
What is the likelihood of an exit within 36 months?,M,1.8,4.33,4,1.6,4,3.2,2.93
Can the startup meet its 12 month milestone projections?,M,3,4.33,3.33,2.4,4,3.2,3.2
What is the likelihood that the startup will meet its fundraising goals?,F,3.4,4.67,4,3,4.33,3.8,3.71
Will the current financing round support the startup through its next milestone?,F,3,4.33,3.67,3.4,4.67,3.4,3.82
Does the startup have adequate governance in place?,E,2.6,5,3.33,1.6,4,4,3.2
