Features,Category,EndoPro,Ensysce,FamilyCare,Amnion,Brightday,Ionica Sciences,Sen-Jam
Problem_Definiton,M,4.20,4.33,4.00,4.50,4.67,4.67,4.00
Soln_Effectiveness,M,3.40,4.00,3.25,4.25,4.00,4.17,3.67
Competitive_Adv,M,4.00,5.00,3.50,4.00,3.67,4.50,4.33
IPProtection_Strn,T,3.80,4.33,3.25,4.50,2.00,3.50,3.00
Regulatory_Success,T,4.00,4.33,4.00,3.25,3.33,4.00,4.67
Solution_Value,M,4.20,5.00,4.00,4.50,4.00,4.50,3.67
Mrkt_Validation,M,3.20,3.67,4.50,4.00,3.00,2.67,3.33
Prdct_Innovativess,M,3.80,5.00,3.25,4.75,3.67,4.17,2.67
Prdct_to_CompProdct,M,3.40,4.33,3.75,4.75,3.67,4.67,4.33
Clinical_barriers,M,3.40,4.00,3.00,2.50,4.00,3.33,3.00
GoalVsPPE,T,3.60,4.33,3.75,3.50,3.33,4.17,3.00
12MReschGoal,M,4.00,4.33,4.75,3.00,4.33,4.17,3.33
ClinSci_Expertise,T,4.60,4.67,3.50,3.50,4.00,4.83,5.00
ClinSci_Experience,T,3.40,4.67,2.75,3.00,3.00,2.67,3.33
Sci_Advis_Engagement ,E,3.40,4.00,3.75,4.25,4.00,4.00,3.33
Sci_Advis_Prominence,E,3.40,4.33,3.50,3.75,4.00,4.67,4.00
12M_milestone,M,3.40,4.00,3.50,3.00,3.67,3.67,3.33
,,,,,,,,
,,3.88,,,,,,3.8
,,,,,,,,
,,,,,,,,3.8
,,,,,,,,3.566
,,,,,,,,3.665
