,Column Labels,,,,,
,success,,,Total Sum of Maximum Offering Amount,Total Sum of No Of Security Offered,Total Sum of Offering Amount
Row Labels,Sum of Maximum Offering Amount,Sum of No Of Security Offered,Sum of Offering Amount,,,
0001104659-19-076754,245000,25000,25000,245000,25000,25000
0001580960-18-000003,250000,1,50000,250000,1,50000
0001581437-20-000001,1070000,25000,25000,1070000,25000,25000
0001625242-17-000019,1000000,3000000,250000,1000000,3000000,250000
0001648770-19-000004,1070000,25000,25000,1070000,25000,25000
0001659586-20-000001,107000,25000,25000,107000,25000,25000
0001675773-18-000004,1070000,25000,25000,1070000,25000,25000
0001702371-20-000001,1070000,25000,25000,1070000,25000,25000
0001702784-19-000007,1070000,25000,25000,1070000,25000,25000
0001704091-17-000004,95000,40000,40000,95000,40000,40000
0001707193-19-000004,1070000,25000,25000,1070000,25000,25000
0001709628-19-000004,1070000,25000,25000,1070000,25000,25000
0001715007-18-000002,1070000,50000,50000,1070000,50000,50000
0001716456-18-000001,450000,200,10000,450000,200,10000
0001719220-18-000001,107000,1000,10000,107000,1000,10000
0001719648-18-000002,800000,5000,10000,800000,5000,10000
0001720033-18-000003,1070000,25000,25000,1070000,25000,25000
0001722994-18-000001,52750,47,10000,52750,47,10000
0001723348-18-000002,50000,,10000,50000,,10000
0001723348-18-000003,50000,,10000,50000,,10000
0001723949-18-000015,500000,5000,50000,500000,5000,50000
0001723949-18-000017,500000,5000,50000,500000,5000,50000
0001725941-18-000004,500000,50000,50000,500000,50000,50000
0001726190-18-000002,107000,,10000,107000,,10000
0001728670-18-000008,107000,250,25000,107000,250,25000
0001728670-18-000009,107000,250,25000,107000,250,25000
0001728855-18-000006,1070000,25000,25000,1070000,25000,25000
0001729427-18-000002,1070000,100000,100000,1070000,100000,100000
0001734217-18-000005,400000,1000,1000,400000,1000,1000
0001735360-18-000003,800000,25000,25000,800000,25000,25000
0001736283-19-000008,1070000,25000,25000,1070000,25000,25000
0001736388-19-000009,435000,25000,25000,435000,25000,25000
0001737259-18-000003,100000,100000,25000,100000,100000,25000
0001737259-18-000004,100000,100000,25000,100000,100000,25000
0001739119-18-000003,1070000,50000,50000,1070000,50000,50000
0001739119-18-000004,500000,25000,25000,500000,25000,25000
0001739576-18-000003,1070000,,100000,1070000,,100000
0001744032-19-000001,1070000,50000,50000,1070000,50000,50000
0001745081-18-000003,50000,40,20000,50000,40,20000
0001745458-18-000003,1070000,50000,50000,1070000,50000,50000
0001749046-19-000001,1070000,50000,50000,1070000,50000,50000
0001751635-19-000001,1070000,25000,25000,1070000,25000,25000
0001752130-19-000002,1070000,25000,25000,1070000,25000,25000
0001754776-19-000001,1070000,25000,25000,1070000,25000,25000
0001755873-19-000001,1070000,25000,25000,1070000,25000,25000
0001756381-19-000002,1070000,25000,25000,1070000,25000,25000
0001759348-19-000005,1070000,25000,25000,1070000,25000,25000
0001762000-19-000003,100000,,25000,100000,,25000
0001763112-19-000002,1070000,25000,25000,1070000,25000,25000
0001764730-20-000001,1070000,100000,100000,1070000,100000,100000
0001765568-19-000003,107000,25000,25000,107000,25000,25000
0001766521-19-000002,1070000,25000,25000,1070000,25000,25000
0001767272-19-000004,1070000,25000,25000,1070000,25000,25000
0001767504-19-000002,550000,1000,1000,550000,1000,1000
0001769091-20-000001,1070000,25000,25000,1070000,25000,25000
0001769091-20-000002,1070000,25000,25000,1070000,25000,25000
0001769210-19-000004,1070000,25000,25000,1070000,25000,25000
0001773255-19-000002,1070000,50000,50000,1070000,50000,50000
0001774041-19-000006,1070000,25000,25000,1070000,25000,25000
0001774046-19-000002,1070000,25000,25000,1070000,25000,25000
0001774075-19-000008,1070000,25000,25000,1070000,25000,25000
0001777204-20-000001,1070000,50000,50000,1070000,50000,50000
0001778262-19-000006,1070000,25000,25000,1070000,25000,25000
0001778493-19-000002,100000,1000,1000,100000,1000,1000
0001779032-20-000001,1070000,25000,25000,1070000,25000,25000
0001781828-19-000002,53300,,30000,53300,,30000
0001782749-20-000001,1070000,25000,25000,1070000,25000,25000
0001783004-20-000003,1070000,25000,25000,1070000,25000,25000
0001783015-20-000001,245000,10000,49000,245000,10000,49000
0001783015-20-000002,1070000,25000,25000,1070000,25000,25000
0001783580-20-000005,1070000,25000,25000,1070000,25000,25000
0001783698-19-000002,,,200000,,,200000
0001784144-20-000001,1070000,25000,25000,1070000,25000,25000
0001784144-20-000002,1070000,25000,25000,1070000,25000,25000
0001785021-19-000002,1070000,100000,100000,1070000,100000,100000
0001785943-20-000001,1070000,25000,25000,1070000,25000,25000
0001789922-19-000005,1070000,25000,25000,1070000,25000,25000
0001798376-20-000004,100000,100000,10000,100000,100000,10000
Grand Total,57888050,5094788,2772000,57888050,5094788,2772000
