"","id","normalized_name","category_code","status","founded_at","closed_at","homepage_url","twitter_username","short_description","description","overview","tag_list","country_code","state_code","city","region","first_funding_at","last_funding_at","funding_rounds","funding_total_usd","first_milestone_at","last_milestone_at","milestones","relationships","funded_at","funding_round_type","funding_round_code","raised_amount_usd","participants","is_first_round","is_last_round"
"1","c:10015","fitbit","health","operating",2007-10-01,"","http://www.fitbit.com","fitbit","Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.","","Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret","USA","CA","San Francisco","SF Bay","2008-10-10","2013-08-13",5,68069200,"","",0,14,"2008-10-10","series-a","a",2000000,2,0,1
"2","c:10015","fitbit","health","operating",2007-10-01,"","http://www.fitbit.com","fitbit","Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.","","Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret","USA","CA","San Francisco","SF Bay","2008-10-10","2013-08-13",5,68069200,"","",0,14,"2010-09-10","series-b","b",9000000,4,0,0
"3","c:10015","fitbit","health","operating",2007-10-01,"","http://www.fitbit.com","fitbit","Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.","","Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret","USA","CA","San Francisco","SF Bay","2008-10-10","2013-08-13",5,68069200,"","",0,14,"2012-01-24","series-c+","c",12000000,4,0,0
"4","c:10015","fitbit","health","operating",2007-10-01,"","http://www.fitbit.com","fitbit","Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.","","Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret","USA","CA","San Francisco","SF Bay","2008-10-10","2013-08-13",5,68069200,"","",0,14,"2013-08-13","series-c+","d",43000000,5,1,0
"5","c:10015","fitbit","health","operating",2007-10-01,"","http://www.fitbit.com","fitbit","Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.","","Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret","USA","CA","San Francisco","SF Bay","2008-10-10","2013-08-13",5,68069200,"","",0,14,"2012-01-01","venture","unattributed",2069200,4,0,0
"6","c:100238","cardiosolutions","medical","operating",2006-01-01,"","http://www.cardiosolutionsinc.com","","","","Cardiosolutions was founded in 2006 by STD Med, Inc., a leading medical device manufacturer, in order to develop less invasive alternatives to open surgical procedures addressing the mitral valve of the heart.","","USA","MA","West Bridgewater","West Bridgewater","2011-09-06","2012-07-10",2,11300000,"","",0,2,"2011-09-06","venture","unattributed",3300000,0,0,1
"7","c:100238","cardiosolutions","medical","operating",2006-01-01,"","http://www.cardiosolutionsinc.com","","","","Cardiosolutions was founded in 2006 by STD Med, Inc., a leading medical device manufacturer, in order to develop less invasive alternatives to open surgical procedures addressing the mitral valve of the heart.","","USA","MA","West Bridgewater","West Bridgewater","2011-09-06","2012-07-10",2,11300000,"","",0,2,"2012-07-10","venture","unattributed",8000000,1,1,0
"8","c:101511","vestaron","biotech","operating",2001-01-01,"","http://www.vestaron.com","","","","Vestaron Corporation develops and produces insecticides by employing peptides sourced from spiders in the United States. Its products are used in agricultural, animal health, and specialty non-crop applications, as well as in household insects and commercial pest control applications. Vestaron Corporation was formerly known as Venomix, Inc. and changed its name to Vestaron Corporation in August 2009. The company was founded in 2005 and is headquartered in Kalamazoo, Michigan.","","USA","MI","Kalamazoo","Kalamazoo","2012-05-08","2012-05-08",1,10200000,"","",0,2,"2012-05-08","series-b","b",10200000,3,1,1
"9","c:10214","procpr","health","operating",2002-10-01,"","http://www.ProCPR.org","procpr","","CPR Certification Online, Blended, Class","ProCPR® is a training company providing online resources for every industry related to CPR, First Aid, Bloodborne Pathogens and more.

ProCPR® provides video based training, along with a remediation based test challenge in the areas of CPR certification, CPR and First Aid training and certification and Bloodborne Pathogens training.

With more than 30 years of combined field experience, ProCPR® leverages itself as on of the top training resources for the medical field, and is committed to continuous growth in all areas, releasing new video trainings all the time, and keep up with all updates as they are released.","cpr, first-aid, firstaid, bloodborne, bloodborne-pathogens, training, online, certification, hipaa, hazard-communications, hazcom","USA","MI","Grand Rapids","Grand Rapids","","",0,0,"2002-01-01","2002-01-01",1,3,NA,NA,NA,NA,NA,NA,NA
"10","c:102425","vgo communications","medical","operating",2007-01-01,"","http://www.vgocom.com","vgocom","VGo Communications develops and markets visual communications solutions for healthcare, monitoring, and remote management applications.","","Vgo Communications, Inc. develops and markets visual communications solutions for workplaces in the United States. It offers VGO, a system that establishes the user's presence remotely via the physical presence, as well as enables users to see, hear, talk, interact, and move around throughout a distant location. The company offers its products for healthcare, monitoring, and remote management applications. Vgo Communications, Inc. was formerly known as North End Technologies, Inc. The company was founded in 2007 and is based in Nashua, New Hampshire.","","USA","NH","Nashua","Nashua","2011-05-17","2013-08-14",3,8829914,"","",0,13,"2012-11-08","venture","unattributed",882159,0,0,0
"11","c:102425","vgo communications","medical","operating",2007-01-01,"","http://www.vgocom.com","vgocom","VGo Communications develops and markets visual communications solutions for healthcare, monitoring, and remote management applications.","","Vgo Communications, Inc. develops and markets visual communications solutions for workplaces in the United States. It offers VGO, a system that establishes the user's presence remotely via the physical presence, as well as enables users to see, hear, talk, interact, and move around throughout a distant location. The company offers its products for healthcare, monitoring, and remote management applications. Vgo Communications, Inc. was formerly known as North End Technologies, Inc. The company was founded in 2007 and is based in Nashua, New Hampshire.","","USA","NH","Nashua","Nashua","2011-05-17","2013-08-14",3,8829914,"","",0,13,"2013-08-14","venture","partial",3691806,0,1,0
